id,link,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,description,file_name
424,https://web.archive.org/web/20150417085337/http://mp3.911dispatch.com.s3.amazonaws.com/church-hill_stabbing_911.mp3,Stabbing,14-Mar,Kentucky,1,0,1,0," In March 2014 a woman in Church Hill (Ken.) crashed her car into a church, and then stabbed her husband. Steven Hamman dialed 911 for help and talked to a Hawkins County dispatcher while emergency units responded.",
431,https://web.archive.org/web/20150417085337/http://www.news-record.com/news/crime/article_cfe40c3c-b5e0-11e3-9dc4-0017a43b2370.html,Murders &amp; suicide,14-Mar,North Carolina,1,1,1,0," In March 2014 a Greensboro (NC) man went on a rampage, shooting and beating two women to death and injuring a third, before he committed suicide. Menice Montell Smith drove to the homes of various people he knew in one way or another, and several of the people dialed 911 to report his odd behavior. By the time police determined what was occurring, Smith was still on the move. Police spotted him and pursued him. Smith’s car crashed into a tree and he then shot himself.",
432,https://web.archive.org/web/20150417085337/http://lang.presstelegram.com/video/crash-orland/index.asp,Bus crash,14-Apr,California,1,10,1,0," In April 2014 a chartered bus collided with a Fed-Ex tractor-trailer on Interstate 5 near Orland (N. Calif.), killing several people. Motorists and victims dialed 911 for help after the crash.",
448,https://web.archive.org/web/20150417085337/http://mp3.911dispatch.com.s3.amazonaws.com/longview-wa_shooting_911.mp3,Shooting,14-Aug,Washington,1,1,1,0," In August 2014 a 10 year-old girl dialed 911 in Longview (Wash.) to say her mother had been shot by her father. A Cowlitz County sheriff’s dispatcher talked to the girl for six minutes as deputies responded. Chante Millian survived, but her husband died of a self-inflicted gunshot wound. The girl was unhurt.",
449,https://web.archive.org/web/20150417085337/http://pdf.911dispatch.com.s3.amazonaws.com/windham_shooting_911_transcript.pdf,Officers shooting,14-Apr,Maine,1,1,1,0," In April 2014 a woman in Windham (Maine) dialed 911 to report her 66 year-old husband was suicidal. A Cumberland County Regional Communications Center dispatcher talked to Vicki McKenney and obtained information about Stephen McKenney. When officers arrived, they confronted Stephen armed with a handgun, and fatally shot him. (transcript as PDF file)",
495,https://web.archive.org/web/20150417085340/http://www.democracynow.org/2007/1/25/exclusive_911_calls_in_north_dakota,HAZMAT Train Derailment,2-Jan,North Dakota,1,1,1,0," In Jan. 2002 a freight train derailed in Minot (ND) at 2 a.m., sending toxic chlorine gas throughout the sleeping town. One person died and 330 were injured by the fumes. In this Democracy Now! audio Webcast, the author of a book explains how radio station ownership consolidation may have contributed to the lack of a local warning to residents. (911 audio included in the Webcast)",
500,https://web.archive.org/web/20150417085340/http://mp3.911dispatch.com.s3.amazonaws.com/wilmington_murder_911.mp3,Murder Suspect Located,9-Feb,North Carolina,0,0,1,0,"-In Feb. 2009 a woman and her husband were murder in Wilmington (NC), and the woman’s adult son was identified as a suspect. A Wilmington police dispatcher talked to a tipster who knew the location of suspect Gerard Altman, while the second caller was a woman who was an acquaintance of Altman, and returned to her apartment to find him asleep inside. Read more",
504,https://web.archive.org/web/20150417085340/http://mp3.911dispatch.com.s3.amazonaws.com/campbellcounty_shooting_911.mp3,Accidental Shooting,9-Feb,Virginia,1,1,1,0,"-In Feb. 2009 a 13 year-old Campbell County (Virg.) youth slipped on this ice while hunting, and his .243-cal. rifle discharged, striking and killing his 10 year-old friend. During a 12-minute call, the boy tells the dispatcher what happened, and the tragedy is obvious in his voice.",
509,https://web.archive.org/web/20150417085340/http://www.madison.com/wsj/projects/911calls/index.html,Dane County (Wisc.) incidents,,Wisconsin,,,,, The Wisconsin State Journal newspaper posted a collection of critical incidents handled by four Dane County dispatchers during 2008.,
511,https://web.archive.org/web/20150417085340/http://newyork.ny.scanamerica.us/LibraryArticle136.html,US Airways Crash,9-Feb,New York,0,0,1,0, In Feb. 2009 a US Airways A320 Airbus landed in the Hudson River (NYC) with 155 passengers after hitting geese during a take-off. Listen to the FDNY radio channels recorded by a scannerist in 15-minute blocks.,
630,https://web.archive.org/web/20150417085338/http://pdf.911dispatch.com.s3.amazonaws.com/greensboro_invasion_911.mp3,Home invasion robbery,9-Oct,North Carolina,1,1,1,0," In Oct. 2009 a Greensboro (NC) homeowner awoke in the middle of the night to hear someone breaking into his home. The burglar entered the bedroom of Charles Hancock, 80, and Haithcock fired three times at the suspect, killing him. Hancock then dialed 911 for help, and police found the suspect lying in the front yard.",
636,https://web.archive.org/web/20150417085338/http://mp3.911dispatch.com.s3.amazonaws.com/clarkcounty_dui_911.mp3,DUI Suspect,9-Nov,Wisconsin,1,0,1,0," In Nov. 2009 a woman driver in Clark County (Wisc.) dialed 911 to report herself as an intoxicated driver. Mary Strey told a sheriff’s dispatcher she was too drunk to drive. Indeed, deputies say her blood alcohol level of 0.10 when they stopped and then arrested her. Read (pdf) the sheriff’s",
639,https://web.archive.org/web/20150417085338/http://www.sanjoseca.gov/clerk/danielphamrecords.asp ^^NOT WORKING,Officer shooting,9-May,California,1,1,1,0," In May 2009 a mentally ill San Jose (Calif.) man was shot 12 times by two police officers after he threatened them with a knife. The family and local Vietnamese community questioned the officers’ actions and if they knew of the man’s condition before they arrived. The city has posted information about the incident, including the logging tapes of 911 calls and radio traffic.",
651,https://web.archive.org/web/20150417085343/http://mp3.911dispatch.com.s3.amazonaws.com/murphy_childdeath_911.mp3,Infant death,,Texas,1,1,1,0," In 2007 a 21 month-old toddler wandered into a backyard soccer net and was strangled. In early 2009 the city filed a lawsuit against the city alleging they failed to provide prompt emergency assistance for Matthew Cantrell, including EMD. In Nov. 2009 the city released the logging tape of Ave Cantrell’s 911 call and",call_651.mp3
721,https://web.archive.org/web/20150417085349/http://www2.nbc4i.com/news/2010/jun/18/4/911-call-im-back-moving-semi-ar-114588/,Hanging from truck,10-Jun,Ohio,1,0,1,0," In June 2010 a man decided to hitch-hike on the back of a tractor-trailer rig, but the vehicle didn’t stop for 17 miles, and the man dialed the Fayette County (Ohio) Sheriff’s comm center for help. Brandon Farmer was finally rescued by a Sabina police officer who spotted him on the truck.",
